task,year,venue,model,model type,model size,major_metric,minor_metric,inference_time_per_exp,CO2_per_exp,CO2_per_job,baseline?
Retro,2017,Chem. Eur. J.,neuralsym,MLP,32.5M,74.8,72.8,1282,35.0,3.50,TRUE
Retro,2021,JCIM,MEGAN,GNN,9.8M,90.1,87.0,2951,51.7,5.15,FALSE
Retro,2021,JACS Au,LocalRetro,GNN,8.6M,97.3,91.5,2313,62.1,6.20,FALSE
Retro,2022,Chem. Sci.,RSMILES,LM,44.6M,93.0,89.6,44142,1083,108.25,FALSE
Retro,2022,ML:ST,Chemformer,LM,44.7M,64.0,62.8,85055,2570,256.65,FALSE
Retro,2024,COLM,LlaSMol,LLM,7.2B,5.0,5.0,39119,1385,138.35,FALSE
Retro,2024,ICLR,RetroBridge,Diffusion,4.6M,52.8,44.9,157820,4040,403.45,FALSE
Retro,2025,Nat. Commun.,RSGPT,LLM,1.6B,97.8,96.6,79090,2512,250.80,FALSE
Forward,2017,Chem. Eur. J.,neuralsym,MLP,98.1M,50.6,49.5,2732,43.9,0.55,TRUE
Forward,2019,ACS Cent. Sci.,MolecularTransformer,LM,11.7M,91.7,86.8,12317,360.0,4.50,FALSE
Forward,2021,JCIM,MEGAN,GNN,9.9M,86.4,80.1,6657,85.3,1.07,FALSE
Forward,2021,JCIM,Graph2SMILES,LM,18M,89.9,88.5,7940,287.8,3.60,FALSE
Forward,2022,Nat. Mach. Intell.,LocalTransform,GNN,9.1M,92.1,87.4,17799,282.9,3.54,FALSE
Forward,2022,ML:ST,Chemformer,LM,44.7M,89.8,89.0,45288,580.0,7.25,FALSE
Forward,2022,Chem. Sci.,RSMILES,LM,44.6M,94.7,89.4,46209,614.7,7.68,FALSE
Forward,2024,COLM,LlaSMol,LLM,7.2B,5.9,3.8,104960,1413.8,17.67,FALSE
MolGen,2017,J. Cheminf.,REINVENT,LM,4.4M,87.90,74.40,10,0.11,0.18,TRUE
MolGen,2018,ICML,JT-VAE,VAE,7.1M,91.39,75.70,1284,20.4,10.58,FALSE
MolGen,2020,ICML,HierVAE,VAE,8.0M,92.10,77.98,788,14.4,11.97,FALSE
MolGen,2021,J. Chem. Inf. Model.,MolGPT,LM,6.4M,77.15,65.00,60,1.85,1.07,FALSE
MolGen,2023,ICML,DiGress,Diffusion,16.2M,82.45,78.71,11931,392.0,175.35,FALSE
MolGen,2024,J. Cheminf.,REINVENT4,LM,5.8M,94.16,75.65,10,0.09,0.07,FALSE
MolGen,2024,arXiv,SmileyLlama,LLM,8.0B,94.26,77.75,645,22.7,21.79,FALSE
MolGen,2024,NeurIPS,DeFoG,Flow Matching,16.3M,82.27,75.90,9874,355.2,355.24,FALSE
MatGen,2022,ICLR,CDVAE,Diffusion,4.9M,22.6,3.2,25764,270.4,270.40,TRUE
MatGen,2023,NeurIPS,DiffCSP,Diffusion,12.4M,29.0,4.3,381,12.7,12.60,FALSE
MatGen,2024,Nat. Commun.,CrystaLLM,LM,25.9M,16.4,3.5,942,19.3,19.20,FALSE
MatGen,2024,ICML,FlowMM,Flow Matching,28.3M,23.9,4.3,547,12.8,12.80,FALSE
MatGen,2025,arXiv,ChargeDIFF,Diffusion,59.5M,33.5,4.4,2994,133.5,133.50,FALSE
MatGen,2025,Nature,MatterGen,Diffusion,44.6M,33.4,5.2,8079,248.1,248.10,FALSE
MatGen,2025,ICML,ADiT,Diffusion,231.9M,29.6,5.5,10512,112.5,112.50,FALSE
MatGen,2025,ICML,CrystalFlow,Flow Matching,20.9M,21.7,3.0,43,1.5,1.50,FALSE
StructOpt,2023,Nat. Mach. Intell.,CHGNet,GNN,413K,0.343,,602,9.47,379,TRUE
StructOpt,2023,arXiv,MACE,GNN,4.69M,0.637,,1068,23.29,932,FALSE
StructOpt,2024,J. Chem. Theory Comput.,SevenNet,GNN,1.17M,0.714,,790,16.21,648,FALSE
StructOpt,2024,arXiv,ORB,GNN,25.2M,0.470,,210,3.87,155,FALSE
StructOpt,2025,arXiv,NequIP,GNN,9.6M,0.733,,316,11.34,454,FALSE
StructOpt,2025,arXiv,DPA3,GNN,4.81M,0.718,,2087,38.45,1538,FALSE
StructOpt,2025,arXiv,Nequix,GNN,708K,0.729,,736,17.13,685,FALSE
StructOpt,2025,arXiv,eSEN,GNN,30.1M,0.797,,2780,87.14,3486,FALSE
MDSim,2023,Nat. Mach. Intell.,CHGNet,GNN,413K,0.047,,602,9.47,379,TRUE
MDSim,2023,arXiv,MACE,GNN,4.69M,0.095,,1068,23.29,932,FALSE
MDSim,2024,J. Chem. Theory Comput.,SevenNet,GNN,1.17M,0.531,,790,16.21,648,FALSE
MDSim,2024,arXiv,ORB,GNN,25.2M,0.385,,210,3.87,155,FALSE
MDSim,2025,arXiv,NequIP,GNN,9.6M,0.361,,316,11.34,454,FALSE
MDSim,2025,arXiv,DPA3,GNN,4.81M,0.508,,2087,38.45,1538,FALSE
MDSim,2025,arXiv,Nequix,GNN,708K,0.203,,736,17.13,685,FALSE
MDSim,2025,arXiv,eSEN,GNN,30.1M,0.720,,2780,87.14,3486,FALSE
